Date,Time,Cur.,Event,Imp.,Actual,Forecast,Previous
"Thursday, September 13, 2018",18:00,US,CPI (MoM) (Aug),,0.2%,0.3%,0.2%
"Thursday, September 13, 2018",18:00,US,CPI (YoY) (Aug),,2.7%,2.8%,2.9%
"Thursday, September 13, 2018",18:00,US,Initial Jobless Claims,,204K,210K,205K
"Thursday, September 20, 2018",18:00,US,Initial Jobless Claims,,201K,210K,204K
"Wednesday, September 26, 2018",23:30,US,Fed Interest Rate Decision,,2.25%,2.25%,2.00%
"Thursday, September 27, 2018",18:00,US,Initial Jobless Claims,,214K,208K,202K
"Friday, September 28, 2018",18:00,US,Core PCE Price Index (MoM) (Aug),,0.0%,0.1%,0.2%
"Friday, September 28, 2018",18:00,US,Core PCE Price Index (YoY) (Aug),,2.0%,2.0%,2.0%
"Thursday, October 4, 2018",18:00,US,Initial Jobless Claims,,207K,211K,215K
"Friday, October 5, 2018",18:00,US,Nonfarm Payrolls (Sep),,134K,185K,270K
"Friday, October 5, 2018",18:00,US,Unemployment Rate (Sep),,3.7%,3.8%,3.9%
"Thursday, October 11, 2018",18:00,US,Core CPI (MoM) (Sep),,0.1%,0.2%,0.1%
"Thursday, October 11, 2018",18:00,US,CPI (MoM) (Sep),,0.1%,0.2%,0.2%
"Thursday, October 11, 2018",18:00,US,CPI (YoY) (Sep),,2.3%,2.4%,2.7%
"Thursday, October 11, 2018",18:00,US,Initial Jobless Claims,,214K,206K,207K
"Thursday, October 18, 2018",18:00,US,Initial Jobless Claims,,210K,211K,215K
"Thursday, October 25, 2018",18:00,US,Initial Jobless Claims,,215K,214K,210K
"Monday, October 29, 2018",18:00,US,Core PCE Price Index (MoM) (Sep),,0.2%,0.1%,0.0%
"Monday, October 29, 2018",18:00,US,Core PCE Price Index (YoY) (Sep),,2.0%,2.0%,2.0%
"Thursday, November 1, 2018",18:00,US,Initial Jobless Claims,,214K,213K,216K
"Friday, November 2, 2018",18:00,US,Nonfarm Payrolls (Oct),,250K,193K,118K
"Friday, November 2, 2018",18:00,US,Unemployment Rate (Oct),,3.7%,3.7%,3.7%
"Thursday, November 8, 2018",19:00,US,Initial Jobless Claims,,214K,214K,215K
"Friday, November 9, 2018",00:30,US,Fed Interest Rate Decision,,2.25%,2.25%,2.25%
"Wednesday, November 14, 2018",19:00,US,Core CPI (MoM) (Oct),,0.2%,0.2%,0.1%
"Wednesday, November 14, 2018",19:00,US,CPI (MoM) (Oct),,0.3%,0.3%,0.1%
"Wednesday, November 14, 2018",19:00,US,CPI (YoY) (Oct),,2.5%,2.5%,2.3%
"Thursday, November 15, 2018",19:00,US,Initial Jobless Claims,,216K,216K,214K
"Wednesday, November 21, 2018",19:00,US,Initial Jobless Claims,,224K,215K,221K
"Thursday, November 29, 2018",19:00,US,Core PCE Price Index (MoM) (Oct),,0.1%,0.2%,0.2%
"Thursday, November 29, 2018",19:00,US,Core PCE Price Index (YoY) (Oct),,1.8%,1.9%,1.9%
"Thursday, November 29, 2018",19:00,US,Initial Jobless Claims,,234K,221K,224K
"Thursday, December 6, 2018",19:00,US,Initial Jobless Claims,,231K,226K,235K
"Friday, December 7, 2018",19:00,US,Nonfarm Payrolls (Nov),,155K,200K,237K
"Friday, December 7, 2018",19:00,US,Unemployment Rate (Nov),,3.7%,3.7%,3.7%
"Wednesday, December 12, 2018",19:00,US,Core CPI (MoM) (Nov),,0.2%,0.2%,0.2%
"Wednesday, December 12, 2018",19:00,US,CPI (MoM) (Nov),,0.0%,0.1%,0.3%
"Wednesday, December 12, 2018",19:00,US,CPI (YoY) (Nov),,2.2%,2.2%,2.5%
"Thursday, December 13, 2018",19:00,US,Initial Jobless Claims,,206K,226K,233K
"Thursday, December 20, 2018",00:30,US,Fed Interest Rate Decision,,2.50%,2.50%,2.25%
"Thursday, December 20, 2018",19:00,US,Initial Jobless Claims,,214K,219K,206K
"Friday, December 21, 2018",20:30,US,Core PCE Price Index (MoM) (Nov),,0.1%,0.2%,0.1%
"Friday, December 21, 2018",20:30,US,Core PCE Price Index (YoY) (Nov),,1.9%,1.9%,1.8%
"Thursday, December 27, 2018",19:00,US,Initial Jobless Claims,,216K,217K,217K
"Thursday, January 3, 2019",19:00,US,Initial Jobless Claims,,231K,220K,221K
"Friday, January 4, 2019",19:00,US,Nonfarm Payrolls (Dec),,312K,178K,176K
"Friday, January 4, 2019",19:00,US,Unemployment Rate (Dec),,3.9%,3.7%,3.7%
"Thursday, January 10, 2019",19:00,US,Initial Jobless Claims,,216K,225K,233K
"Friday, January 11, 2019",19:00,US,Core CPI (MoM) (Dec),,0.2%,0.2%,0.2%
"Friday, January 11, 2019",19:00,US,CPI (MoM) (Dec),,-0.1%,-0.1%,0.0%
"Friday, January 11, 2019",19:00,US,CPI (YoY) (Dec),,1.9%,1.9%,2.2%
"Thursday, January 17, 2019",19:00,US,Initial Jobless Claims,,213K,219K,216K
"Thursday, January 24, 2019",19:00,US,Initial Jobless Claims,,199K,219K,212K
"Thursday, January 31, 2019",00:30,US,Fed Interest Rate Decision,,2.50%,2.50%,2.50%
"Thursday, January 31, 2019",19:00,US,Initial Jobless Claims,,253K,215K,200K
"Friday, February 1, 2019",19:00,US,Nonfarm Payrolls (Jan),,304K,165K,222K
"Friday, February 1, 2019",19:00,US,Unemployment Rate (Jan),,4.0%,3.9%,3.9%
"Thursday, February 7, 2019",19:00,US,Initial Jobless Claims,,234K,221K,253K
"Wednesday, February 13, 2019",19:00,US,CPI (MoM) (Jan),,0.0%,0.1%,-0.1%
"Wednesday, February 13, 2019",19:00,US,Core CPI (MoM) (Jan),,0.2%,0.2%,0.2%
"Wednesday, February 13, 2019",19:00,US,CPI (YoY) (Jan),,1.6%,1.5%,1.9%
"Thursday, February 14, 2019",19:00,US,Initial Jobless Claims,,239K,225K,235K
"Thursday, February 21, 2019",19:00,US,Initial Jobless Claims,,216K,220K,239K
"Thursday, February 28, 2019",19:00,US,Initial Jobless Claims,,225K,221K,217K
"Friday, March 1, 2019",19:00,US,Core PCE Price Index (YoY) (Dec),,1.9%,1.9%,1.9%
"Friday, March 1, 2019",19:00,US,Core PCE Price Index (MoM) (Dec),,0.2%,0.2%,0.2%
"Thursday, March 7, 2019",19:00,US,Initial Jobless Claims,,223K,225K,226K
"Friday, March 8, 2019",19:00,US,Nonfarm Payrolls (Feb),,20K,181K,311K
"Friday, March 8, 2019",19:00,US,Unemployment Rate (Feb),,3.8%,3.9%,4.0%
"Tuesday, March 12, 2019",18:00,US,CPI (MoM) (Feb),,0.2%,0.2%,0.0%
"Tuesday, March 12, 2019",18:00,US,Core CPI (MoM) (Feb),,0.1%,0.2%,0.2%
"Tuesday, March 12, 2019",18:00,US,CPI (YoY) (Feb),,1.5%,1.6%,1.6%
"Thursday, March 14, 2019",18:00,US,Initial Jobless Claims,,229K,225K,223K
"Wednesday, March 20, 2019",23:30,US,Fed Interest Rate Decision,,2.50%,2.50%,2.50%
"Thursday, March 21, 2019",18:00,US,Initial Jobless Claims,,221K,226K,230K
"Thursday, March 28, 2019",18:00,US,Initial Jobless Claims,,211K,220K,216K
"Friday, March 29, 2019",18:00,US,Core PCE Price Index (MoM) (Jan),,0.1%,0.2%,0.2%
"Friday, March 29, 2019",18:00,US,Core PCE Price Index (YoY) (Jan),,1.8%,1.9%,2.0%
"Thursday, April 4, 2019",18:00,US,Initial Jobless Claims,,202K,216K,212K
"Friday, April 5, 2019",18:00,US,Nonfarm Payrolls (Mar),,196K,175K,33K
"Friday, April 5, 2019",18:00,US,Unemployment Rate (Mar),,3.8%,3.8%,3.8%
"Wednesday, April 10, 2019",18:00,US,CPI (MoM) (Mar),,0.4%,0.3%,0.2%
"Wednesday, April 10, 2019",18:00,US,Core CPI (MoM) (Mar),,0.1%,0.2%,0.1%
"Wednesday, April 10, 2019",18:00,US,CPI (YoY) (Mar),,1.9%,1.8%,1.5%
"Thursday, April 11, 2019",18:00,US,Initial Jobless Claims,,196K,211K,204K
"Thursday, April 18, 2019",18:00,US,Initial Jobless Claims,,192K,205K,197K
"Thursday, April 25, 2019",18:00,US,Initial Jobless Claims,,230K,199K,193K
"Monday, April 29, 2019",18:00,US,Core PCE Price Index (MoM) (Feb),,0.1%,0.2%,0.1%
"Monday, April 29, 2019",18:00,US,Core PCE Price Index (YoY) (Feb),,1.6%,1.7%,1.8%
"Monday, April 29, 2019",18:00,US,Core PCE Price Index (MoM) (Mar),,0.0%,0.1%,0.1%
"Monday, April 29, 2019",18:00,US,Core PCE Price Index (YoY) (Mar),,1.6%,1.7%,1.7%
"Wednesday, May 1, 2019",23:30,US,Fed Interest Rate Decision,,2.50%,2.50%,2.50%
"Thursday, May 2, 2019",18:00,US,Initial Jobless Claims,,230K,220K,230K
"Friday, May 3, 2019",18:00,US,Nonfarm Payrolls (Apr),,263K,181K,189K
"Friday, May 3, 2019",18:00,US,Unemployment Rate (Apr),,3.6%,3.8%,3.8%
"Thursday, May 9, 2019",18:00,US,Initial Jobless Claims,,228K,215K,230K
"Friday, May 10, 2019",18:00,US,CPI (MoM) (Apr),,0.3%,0.4%,0.4%
"Friday, May 10, 2019",18:00,US,Core CPI (MoM) (Apr),,0.1%,0.2%,0.1%
"Friday, May 10, 2019",18:00,US,CPI (YoY) (Apr),,2.0%,2.1%,1.9%
"Thursday, May 16, 2019",18:00,US,Initial Jobless Claims,,212K,220K,228K
"Thursday, May 23, 2019",18:00,US,Initial Jobless Claims,,211K,215K,212K
"Thursday, May 30, 2019",18:00,US,Initial Jobless Claims,,215K,216K,212K
"Friday, May 31, 2019",18:00,US,Core PCE Price Index (MoM) (Apr),,0.2%,0.2%,0.1%
"Friday, May 31, 2019",18:00,US,Core PCE Price Index (YoY) (Apr),,1.6%,1.6%,1.5%
"Thursday, June 6, 2019",18:00,US,Initial Jobless Claims,,218K,215K,218K
"Friday, June 7, 2019",18:00,US,Nonfarm Payrolls (May),,75K,185K,224K
"Friday, June 7, 2019",18:00,US,Unemployment Rate (May),,3.6%,3.6%,3.6%
"Wednesday, June 12, 2019",18:00,US,CPI (MoM) (May),,0.1%,0.1%,0.3%
"Wednesday, June 12, 2019",18:00,US,Core CPI (MoM) (May),,0.1%,0.2%,0.1%
"Wednesday, June 12, 2019",18:00,US,CPI (YoY) (May),,1.8%,1.9%,2.0%
"Thursday, June 13, 2019",18:00,US,Initial Jobless Claims,,222K,216K,219K
"Wednesday, June 19, 2019",23:30,US,Fed Interest Rate Decision,,2.50%,2.50%,2.50%
"Thursday, June 20, 2019",18:00,US,Initial Jobless Claims,,216K,220K,222K
"Thursday, June 27, 2019",18:00,US,Initial Jobless Claims,,227K,220K,217K
"Friday, June 28, 2019",18:00,US,Core PCE Price Index (MoM) (May),,0.2%,0.2%,0.2%
"Friday, June 28, 2019",18:00,US,Core PCE Price Index (YoY) (May),,1.6%,1.6%,1.6%
"Wednesday, July 3, 2019",18:00,US,Initial Jobless Claims,,221K,220K,229K
"Friday, July 5, 2019",18:00,US,Nonfarm Payrolls (Jun),,224K,160K,72K
"Friday, July 5, 2019",18:00,US,Unemployment Rate (Jun),,3.7%,3.6%,3.6%
"Thursday, July 11, 2019",18:00,US,Core CPI (MoM) (Jun),,0.3%,0.2%,0.1%
"Thursday, July 11, 2019",18:00,US,CPI (MoM) (Jun),,0.1%,0.0%,0.1%
"Thursday, July 11, 2019",18:00,US,CPI (YoY) (Jun),,1.6%,1.6%,1.8%
"Thursday, July 11, 2019",18:00,US,Initial Jobless Claims,,209K,220K,222K
"Thursday, July 18, 2019",18:00,US,Initial Jobless Claims,,216K,216K,208K
"Thursday, July 25, 2019",18:00,US,Initial Jobless Claims,,206K,220K,216K
"Tuesday, July 30, 2019",18:00,US,Core PCE Price Index (MoM) (Jun),,0.2%,0.2%,0.2%
"Tuesday, July 30, 2019",18:00,US,Core PCE Price Index (YoY) (Jun),,1.6%,1.7%,1.5%
"Wednesday, July 31, 2019",23:30,US,Fed Interest Rate Decision,,2.25%,2.25%,2.50%
"Thursday, August 1, 2019",18:00,US,Initial Jobless Claims,,215K,214K,207K
"Friday, August 2, 2019",18:00,US,Nonfarm Payrolls (Jul),,164K,164K,193K
"Friday, August 2, 2019",18:00,US,Unemployment Rate (Jul),,3.7%,3.7%,3.7%
"Thursday, August 8, 2019",18:00,US,Initial Jobless Claims,,209K,215K,217K
"Tuesday, August 13, 2019",18:00,US,Core CPI (MoM) (Jul),,0.3%,0.2%,0.3%
"Tuesday, August 13, 2019",18:00,US,CPI (MoM) (Jul),,0.3%,0.3%,0.1%
"Tuesday, August 13, 2019",18:00,US,CPI (YoY) (Jul),,1.8%,1.7%,1.6%
"Thursday, August 15, 2019",18:00,US,Initial Jobless Claims,,220K,214K,211K
"Thursday, August 22, 2019",18:00,US,Initial Jobless Claims,,209K,216K,221K
"Thursday, August 29, 2019",18:00,US,Initial Jobless Claims,,215K,215K,211K
"Friday, August 30, 2019",18:00,US,Core PCE Price Index (MoM) (Jul),,0.2%,0.3%,0.2%
"Friday, August 30, 2019",18:00,US,Core PCE Price Index (YoY) (Jul),,1.6%,1.6%,1.6%
"Thursday, September 5, 2019",18:00,US,Initial Jobless Claims,,217K,215K,216K
"Friday, September 6, 2019",18:00,US,Nonfarm Payrolls (Aug),,130K,160K,159K
"Friday, September 6, 2019",18:00,US,Unemployment Rate (Aug),,3.7%,3.7%,3.7%
"Thursday, September 12, 2019",18:00,US,CPI (MoM) (Aug),,0.1%,0.1%,0.3%
"Thursday, September 12, 2019",18:00,US,Core CPI (MoM) (Aug),,0.3%,0.2%,0.3%
"Thursday, September 12, 2019",18:00,US,CPI (YoY) (Aug),,1.7%,1.8%,1.8%
"Thursday, September 12, 2019",18:00,US,Initial Jobless Claims,,204K,215K,219K
"Wednesday, September 18, 2019",23:30,US,Fed Interest Rate Decision,,2.00%,2.00%,2.25%
"Thursday, September 19, 2019",18:00,US,Initial Jobless Claims,,208K,213K,206K
"Thursday, September 26, 2019",18:00,US,Initial Jobless Claims,,213K,212K,210K
"Friday, September 27, 2019",18:00,US,Core PCE Price Index (MoM) (Aug),,0.1%,0.2%,0.2%
"Friday, September 27, 2019",18:00,US,Core PCE Price Index (YoY) (Aug),,1.8%,1.8%,1.7%
"Thursday, October 3, 2019",18:00,US,Initial Jobless Claims,,219K,215K,215K
"Friday, October 4, 2019",18:00,US,Nonfarm Payrolls (Sep),,136K,140K,168K
"Friday, October 4, 2019",18:00,US,Unemployment Rate (Sep),,3.5%,3.7%,3.7%
"Thursday, October 10, 2019",18:00,US,CPI (MoM) (Sep),,0.0%,0.1%,0.1%
"Thursday, October 10, 2019",18:00,US,Core CPI (MoM) (Sep),,0.1%,0.2%,0.3%
"Thursday, October 10, 2019",18:00,US,CPI (YoY) (Sep),,1.7%,1.8%,1.7%
"Thursday, October 10, 2019",18:00,US,Initial Jobless Claims,,210K,215K,220K
"Thursday, October 17, 2019",18:00,US,Initial Jobless Claims,,214K,212K,210K
"Thursday, October 24, 2019",18:00,US,Initial Jobless Claims,,212K,216K,218K
"Wednesday, October 30, 2019",23:30,US,Fed Interest Rate Decision,,1.75%,1.75%,2.00%
"Thursday, October 31, 2019",18:00,US,Core PCE Price Index (YoY) (Sep),,1.7%,1.7%,1.8%
"Thursday, October 31, 2019",18:00,US,Core PCE Price Index (MoM) (Sep),,0.0%,0.1%,0.1%
"Thursday, October 31, 2019",18:00,US,Initial Jobless Claims,,218K,215K,213K
"Friday, November 1, 2019",18:00,US,Nonfarm Payrolls (Oct),,128K,89K,180K
"Friday, November 1, 2019",18:00,US,Unemployment Rate (Oct),,3.6%,3.6%,3.5%
"Thursday, November 7, 2019",19:00,US,Initial Jobless Claims,,211K,215K,218K
"Wednesday, November 13, 2019",19:00,US,CPI (MoM) (Oct),,0.4%,0.3%,0.1%
"Wednesday, November 13, 2019",19:00,US,Core CPI (MoM) (Oct),,0.2%,0.2%,0.1%
"Wednesday, November 13, 2019",19:00,US,CPI (YoY) (Oct),,1.8%,1.7%,1.7%
"Thursday, November 14, 2019",19:00,US,Initial Jobless Claims,,225K,215K,211K
"Thursday, November 21, 2019",19:00,US,Initial Jobless Claims,,227K,219K,227K
"Wednesday, November 27, 2019",19:00,US,Initial Jobless Claims,,213K,223K,228K
"Wednesday, November 27, 2019",20:30,US,Core PCE Price Index (MoM) (Oct),,0.1%,0.2%,0.0%
"Wednesday, November 27, 2019",20:30,US,Core PCE Price Index (YoY) (Oct),,1.6%,1.7%,1.7%
"Thursday, December 5, 2019",19:00,US,Initial Jobless Claims,,203K,215K,213K
"Friday, December 6, 2019",19:00,US,Nonfarm Payrolls (Nov),,266K,186K,156K
"Friday, December 6, 2019",19:00,US,Unemployment Rate (Nov),,3.5%,3.6%,3.6%
"Wednesday, December 11, 2019",19:00,US,CPI (MoM) (Nov),,0.3%,0.2%,0.4%
"Wednesday, December 11, 2019",19:00,US,Core CPI (MoM) (Nov),,0.2%,0.2%,0.2%
"Wednesday, December 11, 2019",19:00,US,CPI (YoY) (Nov),,2.1%,2.0%,1.8%
"Thursday, December 12, 2019",00:30,US,Fed Interest Rate Decision,,1.75%,1.75%,1.75%
"Thursday, December 12, 2019",19:00,US,Initial Jobless Claims,,252K,213K,203K
"Thursday, December 19, 2019",19:00,US,Initial Jobless Claims,,234K,225K,252K
"Friday, December 20, 2019",20:30,US,Core PCE Price Index (MoM) (Nov),,0.1%,0.1%,0.1%
"Friday, December 20, 2019",20:30,US,Core PCE Price Index (YoY) (Nov),,1.6%,1.6%,1.7%
"Thursday, December 26, 2019",19:00,US,Initial Jobless Claims,,222K,224K,235K
"Thursday, January 2, 2020",19:00,US,Initial Jobless Claims,,222K,225K,224K
"Thursday, January 9, 2020",19:00,US,Initial Jobless Claims,,214K,220K,223K
"Friday, January 10, 2020",19:00,US,Nonfarm Payrolls (Dec),,145K,164K,256K
"Friday, January 10, 2020",19:00,US,Unemployment Rate (Dec),,3.5%,3.5%,3.5%
"Tuesday, January 14, 2020",19:00,US,CPI (MoM) (Dec),,0.2%,0.3%,0.3%
"Tuesday, January 14, 2020",19:00,US,Core CPI (MoM) (Dec),,0.1%,0.2%,0.2%
"Tuesday, January 14, 2020",19:00,US,CPI (YoY) (Dec),,2.3%,2.3%,2.1%
"Thursday, January 16, 2020",19:00,US,Initial Jobless Claims,,204K,216K,214K
"Thursday, January 23, 2020",19:00,US,Initial Jobless Claims,,211K,215K,205K
"Thursday, January 30, 2020",00:30,US,Fed Interest Rate Decision,,1.75%,1.75%,1.75%
"Thursday, January 30, 2020",19:00,US,Initial Jobless Claims,,216K,215K,223K
"Friday, January 31, 2020",19:00,US,Core PCE Price Index (YoY) (Dec),,1.6%,1.6%,1.5%
"Friday, January 31, 2020",19:00,US,Core PCE Price Index (MoM) (Dec),,0.2%,0.1%,0.1%
"Thursday, February 6, 2020",19:00,US,Initial Jobless Claims,,202K,215K,217K
"Friday, February 7, 2020",19:00,US,Nonfarm Payrolls (Jan),,225K,160K,147K
"Friday, February 7, 2020",19:00,US,Unemployment Rate (Jan),,3.6%,3.5%,3.5%
"Thursday, February 13, 2020",19:00,US,CPI (MoM) (Jan),,0.1%,0.2%,0.2%
"Thursday, February 13, 2020",19:00,US,Core CPI (MoM) (Jan),,0.2%,0.2%,0.1%
"Thursday, February 13, 2020",19:00,US,CPI (YoY) (Jan),,2.5%,2.4%,2.3%
"Thursday, February 13, 2020",19:00,US,Initial Jobless Claims,,205K,210K,203K
"Thursday, February 20, 2020",19:00,US,Initial Jobless Claims,,210K,210K,206K
"Thursday, February 27, 2020",19:00,US,Initial Jobless Claims,,219K,212K,211K
"Friday, February 28, 2020",19:00,US,Core PCE Price Index (MoM) (Jan),,0.1%,0.2%,0.2%
"Friday, February 28, 2020",19:00,US,Core PCE Price Index (YoY) (Jan),,1.6%,1.7%,1.5%
"Tuesday, March 3, 2020",20:30,US,Fed Interest Rate Decision,,1.25%,,1.75%
"Thursday, March 5, 2020",19:00,US,Initial Jobless Claims,,216K,215K,219K
"Friday, March 6, 2020",18:00,US,Nonfarm Payrolls (Feb),,273K,175K,273K
"Friday, March 6, 2020",19:00,US,Unemployment Rate (Feb),,3.5%,3.6%,3.6%
"Wednesday, March 11, 2020",18:00,US,CPI (MoM) (Feb),,0.1%,0.2%,0.1%
"Wednesday, March 11, 2020",18:00,US,Core CPI (MoM) (Feb),,0.2%,0.2%,0.2%
"Wednesday, March 11, 2020",18:00,US,CPI (YoY) (Feb),,2.3%,2.2%,2.5%
"Thursday, March 12, 2020",18:00,US,Initial Jobless Claims,,211K,218K,215K
"Monday, March 16, 2020",02:30,US,Fed Interest Rate Decision,,0.25%,,1.25%
"Thursday, March 19, 2020",18:00,US,Initial Jobless Claims,,281K,220K,211K
"Thursday, March 26, 2020",18:00,US,Initial Jobless Claims,,"3,283K","1,650K",282K
"Friday, March 27, 2020",18:00,US,Core PCE Price Index (MoM) (Feb),,0.2%,0.2%,0.2%
"Friday, March 27, 2020",18:00,US,Core PCE Price Index (YoY) (Feb),,1.8%,1.7%,1.7%
"Thursday, April 2, 2020",18:00,US,Initial Jobless Claims,,"6,648K","3,500K","3,307K"
"Friday, April 3, 2020",18:00,US,Nonfarm Payrolls (Mar),,-701K,-100K,275K
"Friday, April 3, 2020",18:00,US,Unemployment Rate (Mar),,4.4%,3.8%,3.5%
"Thursday, April 9, 2020",18:00,US,Initial Jobless Claims,,"6,606K","5,250K","6,867K"
"Friday, April 10, 2020",18:00,US,CPI (MoM) (Mar),,-0.4%,-0.3%,0.1%
"Friday, April 10, 2020",18:00,US,CPI (YoY) (Mar),,1.5%,1.6%,2.3%
"Friday, April 10, 2020",18:00,US,Core CPI (MoM) (Mar),,-0.1%,0.1%,0.2%
"Thursday, April 16, 2020",18:00,US,Initial Jobless Claims,,"5,245K","5,105K","6,615K"
"Thursday, April 23, 2020",18:00,US,Initial Jobless Claims,,"4,427K","4,200K","5,237K"
"Wednesday, April 29, 2020",23:30,US,Fed Interest Rate Decision,,0.25%,0.25%,0.25%
"Thursday, April 30, 2020",18:00,US,Core PCE Price Index (YoY) (Mar),,1.7%,1.6%,1.8%
"Thursday, April 30, 2020",18:00,US,Core PCE Price Index (MoM) (Mar),,-0.1%,-0.1%,0.2%
"Thursday, April 30, 2020",18:00,US,Initial Jobless Claims,,"3,839K","3,500K","4,442K"
"Thursday, May 7, 2020",18:00,US,Initial Jobless Claims,,"3,169K","3,000K","3,846K"
"Friday, May 8, 2020",18:00,US,Nonfarm Payrolls (Apr),,"-20,537K","-22,000K",-870K
"Friday, May 8, 2020",18:00,US,Unemployment Rate (Apr),,14.7%,16.0%,4.4%
"Tuesday, May 12, 2020",18:00,US,CPI (MoM) (Apr),,-0.8%,-0.8%,-0.4%
"Tuesday, May 12, 2020",18:00,US,Core CPI (MoM) (Apr),,-0.4%,-0.2%,-0.1%
"Tuesday, May 12, 2020",18:00,US,CPI (YoY) (Apr),,0.3%,0.4%,1.5%
"Thursday, May 14, 2020",18:00,US,Initial Jobless Claims,,"2,981K","2,500K","3,176K"
"Thursday, May 21, 2020",18:00,US,Initial Jobless Claims,,"2,438K","2,400K","2,687K"
"Thursday, May 28, 2020",18:00,US,Initial Jobless Claims,,"2,123K","2,100K","2,446K"
"Friday, May 29, 2020",18:00,US,Core PCE Price Index (MoM) (Apr),,-0.4%,-0.3%,-0.1%
"Friday, May 29, 2020",18:00,US,Core PCE Price Index (YoY) (Apr),,1.0%,1.1%,1.7%
"Thursday, June 4, 2020",18:00,US,Initial Jobless Claims,,"1,877K","1,800K","2,126K"
"Friday, June 5, 2020",18:00,US,Nonfarm Payrolls (May),,"2,509K","-8,000K","-20,687K"
"Friday, June 5, 2020",18:00,US,Unemployment Rate (May),,13.3%,19.7%,14.7%
"Wednesday, June 10, 2020",18:00,US,CPI (MoM) (May),,-0.1%,-0.1%,-0.8%
"Wednesday, June 10, 2020",18:00,US,Core CPI (MoM) (May),,-0.1%,-0.1%,-0.4%
"Wednesday, June 10, 2020",18:00,US,CPI (YoY) (May),,0.1%,0.2%,0.3%
"Wednesday, June 10, 2020",23:30,US,Fed Interest Rate Decision,,0.25%,0.25%,0.25%
"Thursday, June 11, 2020",18:00,US,Initial Jobless Claims,,"1,542K","1,550K","1,897K"
"Thursday, June 18, 2020",18:00,US,Initial Jobless Claims,,"1,508K","1,300K","1,566K"
"Thursday, June 25, 2020",18:00,US,Initial Jobless Claims,,"1,480K","1,300K","1,540K"
"Friday, June 26, 2020",18:00,US,Core PCE Price Index (MoM) (May),,0.1%,0.2%,-0.4%
"Friday, June 26, 2020",18:00,US,Core PCE Price Index (YoY) (May),,1.0%,0.9%,1.0%
"Thursday, July 2, 2020",18:00,US,Nonfarm Payrolls (Jun),,"4,800K","3,000K","2,699K"
"Thursday, July 2, 2020",18:00,US,Unemployment Rate (Jun),,11.1%,12.3%,13.3%
"Thursday, July 2, 2020",18:00,US,Initial Jobless Claims,,"1,427K","1,355K","1,482K"
"Thursday, July 9, 2020",18:00,US,Initial Jobless Claims,,"1,314K","1,375K","1,413K"
"Tuesday, July 14, 2020",18:00,US,CPI (MoM) (Jun),,0.6%,0.5%,-0.1%
"Tuesday, July 14, 2020",18:00,US,CPI (YoY) (Jun),,0.6%,0.6%,0.1%
"Tuesday, July 14, 2020",18:00,US,Core CPI (MoM) (Jun),,0.2%,0.1%,-0.1%
"Thursday, July 16, 2020",18:00,US,Initial Jobless Claims,,"1,300K","1,250K","1,310K"
"Thursday, July 23, 2020",18:00,US,Initial Jobless Claims,,"1,416K","1,300K","1,307K"
"Wednesday, July 29, 2020",23:30,US,Fed Interest Rate Decision,,0.25%,0.25%,0.25%
"Thursday, July 30, 2020",18:00,US,Initial Jobless Claims,,"1,434K","1,450K","1,422K"
"Friday, July 31, 2020",18:00,US,Core PCE Price Index (YoY) (Jun),,0.9%,1.0%,1.0%
"Friday, July 31, 2020",18:00,US,Core PCE Price Index (MoM) (Jun),,0.2%,0.2%,0.2%
"Thursday, August 6, 2020",18:00,US,Initial Jobless Claims,,"1,186K","1,415K","1,435K"
"Friday, August 7, 2020",18:00,US,Nonfarm Payrolls (Jul),,"1,763K","1,600K","4,791K"
"Friday, August 7, 2020",18:00,US,Unemployment Rate (Jul),,10.2%,10.5%,11.1%
"Wednesday, August 12, 2020",18:00,US,CPI (YoY) (Jul),,1.0%,0.8%,0.6%
"Wednesday, August 12, 2020",18:00,US,CPI (MoM) (Jul),,0.6%,0.3%,0.6%
"Wednesday, August 12, 2020",18:00,US,Core CPI (MoM) (Jul),,0.6%,0.2%,0.2%
"Thursday, August 13, 2020",18:00,US,Initial Jobless Claims,,963K,"1,120K","1,191K"
"Thursday, August 20, 2020",18:00,US,Initial Jobless Claims,,"1,106K",925K,971K
"Thursday, August 27, 2020",18:00,US,Initial Jobless Claims,,"1,006K","1,000K","1,104K"
"Friday, August 28, 2020",18:00,US,Core PCE Price Index (MoM) (Jul),,0.3%,0.5%,0.3%
"Friday, August 28, 2020",18:00,US,Core PCE Price Index (YoY) (Jul),,1.3%,1.2%,1.1%
"Thursday, September 3, 2020",18:00,US,Initial Jobless Claims,,881K,950K,"1,011K"
"Friday, September 4, 2020",18:00,US,Nonfarm Payrolls (Aug),,"1,371K","1,400K","1,734K"
"Friday, September 4, 2020",18:00,US,Unemployment Rate (Aug),,8.4%,9.8%,10.2%
"Thursday, September 10, 2020",18:00,US,Initial Jobless Claims,,884K,846K,884K
"Friday, September 11, 2020",18:00,US,CPI (MoM) (Aug),,0.4%,0.3%,0.6%
"Friday, September 11, 2020",18:00,US,Core CPI (MoM) (Aug),,0.4%,0.2%,0.6%
"Friday, September 11, 2020",18:00,US,CPI (YoY) (Aug),,1.3%,1.2%,1.0%
"Wednesday, September 16, 2020",23:30,US,Fed Interest Rate Decision,,0.25%,0.25%,0.25%
